Broadband Initiative,Federal,Percent,state
4874142,91596026,2.6,AL
6378198,0,0,AK
6358179,0,0,AZ
6175366,102131393,2.9,AR
7981304,350064330,10,CA
5382082,112772612,3.2,CO
3782938,93855029,2.7,CT
3080450,0,0,DE
8877028,55902591,1.6,FL
5229940,69687765,2,GA
4486214,8169716,0.2,ID
6554641,173923501,5,IL
3294766,39397487,1.1,IN
5769942,33945037,1,IA
6371514,998419,0,KS
5302717,535308,0,KY
6649679,89759799,2.6,LA
4978492,25402904,0.7,ME
4755768,115240581,3.3,MD
6162554,77517537,2.2,MA
4755684,108574985,3.1,MI
4470035,36200630,1,MN
7011691,102364489,2.9,MS
6573382,71745250,2.1,MO
6084826,13796640,0.4,MT
5662785,11547866,0.3,NE
3993441,26713723,0.8,NV
6113338,44480992,1.3,NH
4926106,39638152,1.1,NJ
4762287,76978670,2.2,NM
8923532,38938988,1.1,NY
6610996,120685297,3.5,NC
3664087,10781157,0.3,ND
7025762,141300142,4.1,OH
3815185,83470346,2.4,OK
5658302,20548476,0.6,OR
7356301,128444692,3.7,PA
4544787,21739183,0.6,RI
3979832,9604840,0.3,SC
5729415,20572242,0.6,SD
4479620,15865636,0.5,TN
8026000,67698503,1.9,TX
5196025,31048683,0.9,UT
3542996,45649894,1.3,VT
8099979,92995941,2.7,VA
7314042,166058182,4.8,WA
4749181,129525056,3.7,WV
4540152,57969654,1.7,WI
4153833,10671802,0.3,WY